,Ticker,Start Price,End Price,Price Change,Price Change %
0,RMTI,0.2793,1.9,1.6206999999999998,580.2721088435374
1,PXS,0.6261,2.63,2.0039,320.06069318000317
2,PT,0.44,1.71,1.27,288.6363636363636
3,PIXY,0.198,0.46,0.262,132.32323232323233
4,EYESW,0.2125,0.45,0.23750000000000002,111.76470588235294
5,AGRI,1.3,2.69,1.39,106.92307692307692
6,HHGCW,0.1353,0.2799,0.14459999999999998,106.87361419068735
7,NLSPW,0.109,0.22,0.111,101.83486238532112
8,NDRAW,0.0153,0.03,0.0147,96.07843137254902
9,ENTXW,0.0628,0.12,0.0572,91.08280254777071
10,KAIIW,0.0957,0.1797,0.084,87.77429467084642
11,BIOSW,0.0971,0.1799,0.0828,85.27291452111226
12,FFIEW,0.21,0.38,0.17,80.95238095238096
13,TETEW,0.11,0.1899,0.07990000000000001,72.63636363636364
14,VCKAW,0.1553,0.2675,0.11220000000000002,72.24726336123634
15,PXSAW,0.175,0.301301,0.126301,72.172
16,KIIIW,0.101,0.1699,0.06889999999999999,68.2178217821782
17,STG,2.2,3.68,1.48,67.27272727272727
18,MEOAW,0.0669,0.11,0.0431,64.42451420029896
19,CMPX,1.64,2.67,1.03,62.80487804878049
20,EJFAW,0.247,0.3999,0.15289999999999998,61.902834008097166
21,VERU,8.17,13.22,5.050000000000001,61.81150550795594
22,SHCRW,0.2392,0.3799,0.14070000000000002,58.821070234113726
23,DRMAW,0.075,0.118699,0.043699,58.26533333333334
24,AFI,0.2,0.315,0.11499999999999999,57.49999999999999
25,DTST,2.15,3.35,1.2000000000000002,55.81395348837211
26,WWACW,0.2401,0.3717,0.13159999999999997,54.810495626822146
27,DAVEW,0.2335,0.3599,0.12639999999999998,54.13276231263382
28,QTEKW,0.2792,0.4231,0.14389999999999997,51.540114613180506
29,BWACW,0.0829,0.1247,0.041800000000000004,50.42219541616406
30,ENCPW,0.1,0.15,0.04999999999999999,49.999999999999986
31,STKL,5.15,7.7,2.55,49.51456310679611
32,RSVRW,1.2,1.79,0.5900000000000001,49.16666666666668
33,PTON,10.39,15.45,5.059999999999999,48.7006737247353
34,DRIO,4.47,6.62,2.1500000000000004,48.098434004474285
35,CIFRW,0.27,0.3998,0.12979999999999997,48.074074074074055
36,PRPL,3.44,5.09,1.65,47.96511627906976
37,EMBKW,0.255,0.377,0.122,47.843137254901954
38,EMBK,1.55,2.29,0.74,47.74193548387097
39,RGTIW,0.852449,1.2574,0.40495100000000006,47.50442548469176
40,USCTW,0.16,0.2359,0.0759,47.43749999999999
41,CRGE,3.35,4.9,1.5500000000000003,46.268656716417915
42,IQMDW,0.15,0.2183,0.0683,45.53333333333334
